miRNA,9_5_3_1,9_5_3_2,9_5_3_3,9_5_3_4,9_5_3_5,9_5_3_6,9_5_3_7,9_5_3_8,9_5_3_9,9_5_3_10,9_5_3_11,9_5_3_12
hsa-mir-20a_mature,607,338,277,21,58,61,473,296,325,41,64,28
hsa-mir-21_mature,84,80,184,840,2704,1811,121,162,102,1166,1384,1107
hsa-mir-21_precursor,0,0,0,14,0,0,0,0,0,8,0,17
hsa-mir-210_mature,18,59,31,25,411,24,102,177,5,11,43,299
hsa-mir-2110_mature,214,276,175,1653,3621,3172,619,160,230,2042,2737,1536
hsa-mir-2110_unannotated,31,0,41,99,161,98,10,110,3,66,134,61
hsa-mir-2115_mature,0,0,0,5,22,0,0,0,0,8,0,2
hsa-mir-2116_mature,43,35,27,49,56,191,0,49,30,14,144,37
hsa-mir-212_mature,0,0,0,4,188,24,0,0,0,45,59,27
hsa-mir-214_mature,0,0,0,8,36,0,0,0,14,9,3,7
hsa-mir-218-1_mature,15,6,12,20,53,56,4,0,0,39,21,3
hsa-mir-218-2_mature,10,3,20,17,60,33,5,0,0,60,27,27
hsa-mir-219a-1_mature,74,7,40,28,109,204,0,176,10,5,58,147
hsa-mir-219b_mature,0,47,0,11,0,0,0,0,0,12,17,8
hsa-mir-22_mature,53,54,10,916,1714,1607,92,2455,82,1971,1779,1353
hsa-mir-221_mature,4087,51,7732,350,455,520,14,101,6,671,400,474
hsa-mir-222_mature,16,338,540,18,10,29,880,290,366,19,9887,1
hsa-mir-224_mature,13319,11063,15896,124,206,172,14250,8715,39,195,33,227
hsa-mir-2276_mature,0,0,0,5,58,21,0,0,0,49,11,11
hsa-mir-2277_mature,0,0,3,21,87,16,0,0,0,6,52,8
hsa-mir-2355_mature,35,14,0,30,105,88,27,5,1,132,54,33
hsa-mir-23a_mature,0,34,195,54,225,68,38,0,0,156,115,151
hsa-mir-23a_precursor,0,0,0,0,0,8,33,0,0,0,0,7
hsa-mir-23b_mature,384,235,328,1546,2699,3421,374,83,231,2109,2429,1668
hsa-mir-24-1_mature,19309,33,4,216,659,253,27524,2,17281,385,176,372
hsa-mir-24-1_precursor,0,0,0,0,0,0,16,0,0,6,0,8
hsa-mir-24-2_mature,19190,103,4,387,649,650,29,33,25,518,397,510
hsa-mir-25_mature,39,77,335,322,908,589,8358,87,91,585,814,537
hsa-mir-26a-1_mature,359,405,474,25514,10,29527,1136,322,451,48523,19446,1
hsa-mir-26a-2_mature,320,411,468,91,422,223,1158,305,452,201,139,175
hsa-mir-26b_mature,3,1116,1944,90,203,136,14,49,1415,109,205,118
hsa-mir-27a_mature,0,0,0,62,339,215,0,1,0,180,94,102
hsa-mir-27b_mature,0,11,76,201,300,275,0,0,0,564,131,346
hsa-mir-28_mature,118,254,408,5207,7916,7157,487,401,282,11302,6692,8642
hsa-mir-296_mature,0,0,20,9,26,0,51,0,0,17,47,2
hsa-mir-29a_mature,44,11165,16571,31,94,44,13396,13348,8091,20,58,8
hsa-mir-29b-1_mature,17,22,754,166,268,161,537,0,67,227,236,211
hsa-mir-29b-2_mature,358,276,716,12,13,0,509,0,325,39,7,21
hsa-mir-29c_mature,172,122,50,11,127,82,134,0,144,119,0,69
hsa-mir-301a_mature,34,77,0,111,224,135,35,1,14,148,223,98
hsa-mir-301b_mature,19,0,0,12,112,180,22,0,38,49,93,22
hsa-mir-3064_mature,0,0,0,8,77,125,0,0,0,1,28,18
hsa-mir-3065_mature,0,0,0,8,191,49,0,0,0,11,101,5
hsa-mir-3074_mature,0,0,1,19,50,510,26,0,76,11,57,31
hsa-mir-30a_mature,58,4,71,167,327,36,57,3,32,347,164,330
hsa-mir-30b_mature,599,212,0,25,25,0,257,103,0,29,44,24
hsa-mir-30c-1_mature,680,524,0,52,12,17,5,430,0,33,23,25
hsa-mir-30c-2_mature,684,486,0,6,0,0,762,445,0,0,0,0
hsa-mir-30d_mature,20165,17856,28268,65,39,85,30673,18357,16721,39,35,48
hsa-mir-30e_mature,160,81,188,58833,148296,3003,111,117,79,67462,64500,63809
hsa-mir-3115_mature,0,0,0,57,80,189,0,0,0,42,54,72
hsa-mir-3121_mature,0,0,0,12,33,26,0,0,0,13,39,19
hsa-mir-3124_mature,0,0,0,0,27,0,0,0,0,14,0,20
hsa-mir-3126_mature,20,0,0,8,14,18,15,0,0,3,37,1
hsa-mir-3127_mature,14,0,45,13,69,98,0,42,23,22,14,37
hsa-mir-3128_mature,0,0,0,91,216,51,0,0,51,141,44,188
hsa-mir-3129_mature,0,0,0,10,0,0,0,0,0,11,0,2
hsa-mir-3130-1_mature,10,4,22,38,52,28,4,12,2,18,56,26
hsa-mir-3130-2_mature,9,7,21,34,76,34,5,1,2,25,70,23
hsa-mir-3131_mature,38,31,0,34,62,17,2,25,0,44,151,76
hsa-mir-3136_mature,0,0,0,0,24,39,0,0,29,0,0,0
hsa-mir-3138_mature,18,0,10,81,421,266,19,0,0,123,201,150
hsa-mir-3138_unannotated,42,0,0,0,0,0,0,0,0,0,18,3
hsa-mir-3139_mature,0,0,0,8,33,0,0,0,0,27,0,36
hsa-mir-3140_mature,0,14,0,17,229,90,41,0,5,33,29,36
hsa-mir-3143_mature,0,0,0,5,20,0,0,0,0,8,18,12
hsa-mir-3143_unannotated,0,0,0,3,0,38,0,0,0,10,0,0
hsa-mir-3144_mature,273,6,15,182,296,109,67,0,14,208,337,80
hsa-mir-3145_mature,155,196,482,113,203,121,234,460,24,197,110,144
hsa-mir-3146_mature,0,0,0,1,0,0,0,0,0,4,11,3
hsa-mir-3148_mature,0,0,0,7,50,56,0,0,0,8,12,36
hsa-mir-3150a_mature,0,0,0,8,11,2,0,0,5,11,4,8
hsa-mir-3154_mature,33,0,80,2,46,28,0,0,0,0,8,28
hsa-mir-3157_mature,0,22,0,14,93,19,0,0,0,6,3,3
hsa-mir-3158-1_mature,14,34,104,1,29,160,69,58,6,92,108,4
hsa-mir-3158-2_mature,19,32,100,80,16,151,72,67,8,119,96,118
hsa-mir-3159_mature,0,0,0,13,0,30,0,0,0,0,0,4
hsa-mir-3160-1_mature,0,0,8,6,0,0,0,0,0,0,5,4
hsa-mir-3160-2_mature,0,0,8,6,0,0,0,0,0,0,5,6
hsa-mir-3162_mature,0,0,18,6,0,0,0,0,0,0,21,0
hsa-mir-3164_mature,0,0,0,0,0,0,0,0,20,1,24,0
hsa-mir-3165_mature,0,0,0,0,0,9,0,0,0,41,6,0
hsa-mir-3170_mature,0,0,0,16,74,31,0,3,0,1,33,9
hsa-mir-3170_unannotated,50,0,0,28,57,36,0,0,47,77,120,71
hsa-mir-3173_mature,30,287,37,32,77,90,245,205,35,61,55,68
hsa-mir-3174_mature,0,14,121,225,377,299,42,1,34,342,268,211
hsa-mir-3175_mature,0,0,0,57,85,50,10,0,0,61,96,83
hsa-mir-3176_mature,0,0,84,47,40,56,20,30,0,25,64,23
hsa-mir-3177_mature,158,99,110,21,67,1480,146,100,113,14,20,9
hsa-mir-3181_mature,0,0,0,1,0,22,0,0,0,0,12,0
hsa-mir-3182_mature,0,0,0,3,5,7,0,0,0,9,0,3
hsa-mir-3187_mature,104,21,91,3,357,310,0,54,12,12,127,99
hsa-mir-3188_mature,0,0,131,0,0,25,0,0,0,51,27,25
hsa-mir-3189_mature,0,0,0,27,16,95,67,0,0,7,109,84
hsa-mir-3190_mature,0,0,0,44,52,0,17,0,0,58,49,20
hsa-mir-3191_mature,0,0,0,0,0,35,0,0,0,0,8,16
hsa-mir-3192_mature,0,0,0,31,25,29,0,0,0,0,0,13
hsa-mir-3193_mature,0,0,0,44,42,14,0,0,0,68,0,38
hsa-mir-3194_mature,0,0,0,31,22,9,0,28,0,15,25,35
hsa-mir-3198-1_mature,0,0,0,6,5,9,0,0,0,0,5,3
hsa-mir-3198-2_mature,0,0,0,9,11,7,0,0,0,0,0,4
hsa-mir-3199-1_mature,0,0,0,0,7,0,0,0,0,0,1,13
hsa-mir-3199-1_unannotated,0,0,0,0,26,0,16,0,0,0,41,0
hsa-mir-3199-2_mature,0,0,0,0,1,0,0,0,0,15,1,23
hsa-mir-32_mature,31,38,63,354,668,595,21,1,31,350,410,478
hsa-mir-3200_mature,0,0,0,0,14,0,0,0,0,0,11,19
hsa-mir-320c-1_mature,29,35,72,76,166,245,21,31,4,115,164,106
hsa-mir-320c-2_mature,33,31,51,76,176,267,14,42,19,188,190,116
hsa-mir-320d-1_mature,11,49,17,34,141,151,3,25,18,121,204,103
hsa-mir-320d-2_mature,7,9,17,51,121,121,1,14,16,48,127,68
hsa-mir-320e_mature,0,0,0,11,14,8,0,0,0,14,5,15
hsa-mir-323a_mature,0,17,45,54,59,27,0,0,32,69,75,68
hsa-mir-323b_mature,0,0,0,0,29,0,0,0,0,3,0,4
hsa-mir-324_mature,69,18,42,171,413,231,24,40,26,348,375,226
hsa-mir-326_mature,13,0,34,42,111,72,38,62,4,70,100,46
hsa-mir-328_mature,598,485,942,435,18,831,742,287,660,577,1066,362
hsa-mir-329-1_mature,0,0,18,39,158,55,10,15,11,30,46,36
hsa-mir-329-2_mature,0,0,13,26,148,66,7,12,13,34,51,31
hsa-mir-330_mature,178,178,377,20,170,120,187,158,117,32,66,71
hsa-mir-331_mature,62,26,213,75,81,56,31,81,70,82,30,73
hsa-mir-335_mature,61,61,54,1861,3164,2363,219,1,46,2165,1946,1849
hsa-mir-338_mature,345,5,624,67,75,153,18,32,23,52,53,86
hsa-mir-339_mature,220,223,746,3047,7211,5625,346,160,170,4744,5019,4215
hsa-mir-33a_mature,39,0,1,22,26,26,1,0,0,82,29,87
hsa-mir-33a_precursor,0,22,0,3,29,25,0,0,0,22,70,43
hsa-mir-33b_mature,0,0,0,15,0,19,0,0,0,7,0,1
hsa-mir-340_mature,10,944,1,81,116,219,1465,1259,664,151,50,115
hsa-mir-342_mature,25,69,1309,303,613,483,1111,53,79,445,311,512
hsa-mir-345_mature,1350,784,2048,5,6244,4726,641,679,591,4281,4333,3674
hsa-mir-34a_mature,146,244,52,130,202,265,381,21,71,103,131,97
hsa-mir-34a_stemloop,2,13,0,15,0,31,0,0,0,0,0,12
hsa-mir-3529_mature,0,0,0,0,0,0,0,0,0,30,21,16
hsa-mir-3605_mature,34,19,256,115,372,290,1,119,19,232,273,162
hsa-mir-3609_mature,0,0,0,45,24,0,0,0,13,14,32,6
hsa-mir-361_mature,72,323,249,3836,7280,5686,286,300,226,5558,5623,3722
hsa-mir-3611_mature,0,0,0,2,23,0,0,0,0,6,18,6
hsa-mir-3613_mature,28,6,0,88,65,84,75,0,45,108,72,50
hsa-mir-3614_mature,0,0,0,0,11,0,0,0,0,6,32,29
hsa-mir-3615_mature,266,98,343,470,1276,1066,91,160,138,612,1209,587
hsa-mir-3617_mature,0,0,0,12,13,0,0,0,0,0,14,0
hsa-mir-362_mature,29,2,146,103,111,176,4,29,41,316,61,205
hsa-mir-3620_mature,0,0,5,18,11,28,18,0,0,8,40,0
hsa-mir-3620_precursor,48,0,0,0,0,0,0,34,0,0,13,0
hsa-mir-3622a_mature,0,0,0,0,14,16,0,0,0,6,0,0
hsa-mir-3622b_mature,0,0,0,0,0,0,0,0,13,21,0,5
hsa-mir-3651_unannotated,0,0,0,6,0,8,0,0,0,0,0,1
hsa-mir-3652_mature,0,0,0,0,0,7,0,0,0,18,40,7
hsa-mir-3652_unannotated,0,0,0,0,0,2,0,0,0,5,3,0
hsa-mir-365a_mature,0,106,24,322,747,630,59,154,41,490,498,354
hsa-mir-365b_mature,0,0,0,0,0,0,0,0,71,5,25,4
hsa-mir-3661_mature,21,55,13,180,389,284,0,0,0,254,273,191
hsa-mir-3664_mature,45,28,163,4,720,14,32,134,29,11,7,29
hsa-mir-3679_mature,124,60,175,314,431,708,108,322,56,439,746,256
hsa-mir-3680-1_mature,0,17,19,2,11,27,0,0,0,3,4,1
hsa-mir-3680-2_mature,0,9,12,3,5,11,0,0,0,3,1,1
hsa-mir-3682_mature,0,30,72,36,87,0,0,0,0,28,84,26
hsa-mir-3684_mature,0,0,0,20,50,45,0,0,0,23,31,28
hsa-mir-3685_mature,0,0,0,11,5,0,0,0,0,2,27,5
hsa-mir-3688-1_mature,9,6,0,22,48,15,34,0,0,33,9,28
hsa-mir-3688-2_mature,11,8,0,23,28,40,21,0,0,41,8,26
hsa-mir-369_mature,98,118,232,142,307,377,168,169,71,132,284,216
hsa-mir-3691_mature,40,1,122,44,106,6,118,58,67,24,20,14
hsa-mir-370_mature,0,0,0,14,0,8,0,0,0,0,0,2
hsa-mir-371a_mature,49,30,0,15,292,149,88,0,10,172,138,7
hsa-mir-372_mature,0,0,0,150,174,240,0,0,0,135,89,97
hsa-mir-374a_mature,16,45,22,141,258,188,35,0,53,203,114,119
hsa-mir-374b_mature,52,21,35,251,292,71,52,54,63,209,345,235
hsa-mir-375_mature,159,214,168,984,2377,1533,123,87,206,1271,1265,1129
